Census year,Block ID,CLUE small area,Seating type,Number of seats,Longitude,Latitude
2011,52,Melbourne (CBD),Seats - Outdoor,70,144.9561073,-37.81571393
2008,808,Southbank,Seats - Outdoor,0,144.9612916,-37.82386992
2015,27,Melbourne (CBD),Seats - Indoor,360,144.9698467,-37.81516811
2012,246,Carlton,Seats - Outdoor,22,144.9664763,-37.80160598
2014,360,North Melbourne,Seats - Indoor,80,144.9564599,-37.80519938
2017,245,Carlton,Seats - Indoor,28,144.9643119,-37.80188571
2004,21,Melbourne (CBD),Seats - Indoor,70,144.9547601,-37.81942797
2017,1108,Docklands,Seats - Indoor,6,144.9421904,-37.81981342
2007,41,Melbourne (CBD),Seats - Indoor,34,144.9541099,-37.8172192
2016,607,East Melbourne,Seats - Outdoor,6,144.9856009,-37.81618643
2016,377,North Melbourne,Seats - Outdoor,4,144.9540103,-37.79937005
2022,862,South Yarra,Seats - Outdoor,6,144.9793098,-37.83713808
2003,45,Melbourne (CBD),Seats - Indoor,14,144.9645417,-37.8144554
2011,862,South Yarra,Seats - Indoor,40,144.9797639,-37.83699215
2005,131,Docklands,Seats - Indoor,84,144.9536517,-37.82253773
2019,811,Southbank,Seats - Indoor,35,144.963253,-37.82376394
2016,559,Kensington,Seats - Indoor,14,144.9163729,-37.79387767
2018,15,Melbourne (CBD),Seats - Indoor,120,144.9652979,-37.81724201
2022,862,South Yarra,Seats - Indoor,74,144.9793098,-37.83713808
2024,1103,Docklands,Seats - Outdoor,20,144.9493733,-37.81733573
2024,365,North Melbourne,Seats - Indoor,16,144.9560187,-37.80337398
2022,95,Melbourne (CBD),Seats - Indoor,75,144.961747,-37.80994879
2019,25,Melbourne (CBD),Seats - Indoor,16,144.9655966,-37.8166033
2015,274,Carlton,Seats - Indoor,70,144.9613973,-37.78509079
2018,1103,Docklands,Seats - Indoor,32,144.9475368,-37.81486994
2008,48,Melbourne (CBD),Seats - Indoor,38,144.9717965,-37.81200628
2024,45,Melbourne (CBD),Seats - Outdoor,28,144.964049,-37.81458812
2017,1108,Docklands,Seats - Outdoor,23,144.9421904,-37.81981342
2010,22,Melbourne (CBD),Seats - Outdoor,46,144.9581185,-37.81853877
2010,753,Southbank,Seats - Indoor,85,144.9671147,-37.82038777
2018,1108,Docklands,Seats - Indoor,80,144.9450469,-37.82100104
2006,1101,Docklands,Seats - Indoor,88,144.952084,-37.81767874
2007,424,West Melbourne (Residential),Seats - Outdoor,8,144.9513759,-37.80563093
2003,240,Carlton,Seats - Outdoor,20,144.9592901,-37.8002345
2016,95,Melbourne (CBD),Seats - Indoor,36,144.9628281,-37.80913009
2015,803,Southbank,Seats - Indoor,200,144.9586604,-37.82312164
2014,1105,Docklands,Seats - Indoor,72,144.9492736,-37.81999404
2024,353,North Melbourne,Seats - Indoor,50,144.9502701,-37.79681785
